title,date,date_transformed,employer,location,salary,salary_copy,working_hours,day_of_week,month,min_salary,max_salary
Data Analyst,18 April,2024-04-18,Niche Recruitment Ltd,Swindon,£18.71 per hour,18.71 per hour,"Temporary, full-time",Thursday,April,11232,0
Data Analyst,18 April,2024-04-18,Proactive Appointments,London,Competitive salary,Competitive salary,"Permanent, full-time",Thursday,April,1,1
Data Analyst,16 April,2024-04-16,CV Consulting Ltd,Milton Keynes Village,Competitive salary,Competitive salary,"Permanent, full-time",Tuesday,April,1,1
Data Analyst,2 days ago,2024-04-25,HYERED LIMITED,London,"£27,000 - £28,000 per annum",27000 - 28000 per annum,"Permanent, full-time",Thursday,April,27000,28000
Data Analyst,5 days ago,2024-04-22,Hays Specialist Recruitment Limited,Carlisle,"£35,000 - £45,000 per annum",35000 - 45000 per annum,"Permanent, full-time",Monday,April,35000,45000
Data Analyst,Yesterday,2024-04-26,Hays Specialist Recruitment Limited,Penrith,"£35,000 - £45,000 per annum",35000 - 45000 per annum,"Permanent, full-time",Friday,April,35000,45000
Data Analyst,5 days ago,2024-04-22,Dupen Ltd (Dupen Recruitment),Bournemouth,Salary negotiable,Salary negotiable,"Permanent, full-time",Monday,April,3,3
Data Analyst,30 March,2024-03-30,BCT Resourcing ,Newcastle Upon Tyne,"£35,000 per annum",35000 per annum,"Permanent, full-time",Saturday,March,35000,0
Data Analyst,22 March,2024-03-22,Hays Specialist Recruitment Limited,Hertfordshire,"£37,000 - £40,000 per annum",37000 - 40000 per annum,"Permanent, full-time",Friday,March,37000,40000
Data Analyst,18 April,2024-04-18,Hays Specialist Recruitment Limited,Walsall,"£36,287 - £38,324 per annum",36287 - 38324 per annum,"Permanent, full-time",Thursday,April,36287,38324
Data Analyst,10 April,2024-04-10,Deerfoot IT Resources Ltd,Gerrards Cross,"£35,000 - £40,000 per annum",35000 - 40000 per annum,"Permanent, full-time",Wednesday,April,35000,40000
Data Analyst ,3 April,2024-04-03,Lynx Recruitment Ltd,London,"£40,000 - £50,000 per annum",40000 - 50000 per annum,"Permanent, full-time",Wednesday,April,40000,50000
Data Analyst,18 March,2024-03-18,Robert Half,London,"£35,000 - £40,000 per annum",35000 - 40000 per annum,"Permanent, full-time",Monday,March,35000,40000
Data Analyst,11 April,2024-04-11,Elevation Recruitment Group,Normanton,"£25,000 - £30,000 per annum",25000 - 30000 per annum,"Permanent, full-time",Thursday,April,25000,30000
Data Analyst,5 days ago,2024-04-22,Granite Recruitment and Consulting Limited,Tewkesbury,"£35,000 - £45,000 per annum",35000 - 45000 per annum,"Permanent, full-time",Monday,April,35000,45000
Data Analyst,18 March,2024-03-18,Harnham - Data & Analytics Recruitment,Tamworth,"£35,000 - £45,000 per annum",35000 - 45000 per annum,"Permanent, full-time",Monday,March,35000,45000
Data Analyst,22 March,2024-03-22,Adria Solutions Ltd,Manchester,"£45,000 - £55,000 per annum",45000 - 55000 per annum,"Permanent, full-time",Friday,March,45000,55000
Data Analyst,22 March,2024-03-22,Akkodis,Doncaster,"£30,000 - £35,000 per annum",30000 - 35000 per annum,"Permanent, full-time",Friday,March,30000,35000
Data Analyst,21 March,2024-03-21,Additional Resources Ltd,Middlesbrough,"£25,000 - £30,000 per annum",25000 - 30000 per annum,"Permanent, full-time or part-time",Thursday,March,25000,30000
Data Analyst,12 April,2024-04-12,Trust In Soda,Birmingham,"£45,000 per annum",45000 per annum,"Permanent, full-time",Friday,April,45000,0
Data Analyst,27 Feburary,2024-02-27,In Technology Group Limited,Blackburn,"£35,000 - £40,000 per annum",35000 - 40000 per annum,"Permanent, full-time",Tuesday,February,35000,40000
Data Analyst,22 March,2024-03-22,Adria Solutions Ltd,Manchester,"£45,000 - £60,000 per annum",45000 - 60000 per annum,"Permanent, full-time",Friday,March,45000,60000
